dev,dev_type,dev_loc,dev_abs,isi,no_tones,base_freq,freq_dev,freq_dev_type,freq_loc,freq_dev_no,trial_no,block_no,iti,freq_diff,freq_diff_abs
48,late,5,48,700,7,192,[220],['higher'],[3],1,1,1,2176,[28],[28]
,,,,700,7,40000,,,,,2,1,2111,[False],[False]
27,late,5,27,700,7,192,[440],['higher'],[7],1,3,1,2335,[248],[248]
,,,,700,7,40000,,,,,4,1,2037,[False],[False]
19,late,4,19,700,7,220,[False],['standard'],[False],0,5,1,2333,[False],[False]
13,late,5,13,700,7,440,[False],['standard'],[False],0,6,1,2366,[False],[False]
-48,early,5,48,700,7,220,"[192, 392, 192]","['lower', 'higher', 'lower']","[4, 7, 2]",3,7,1,2473,"[-28, 172, -28]","[28, 172, 28]"
,,,,700,7,40000,,,,,8,1,2216,[False],[False]
19,late,6,19,700,7,220,"[440, 392]","['higher', 'higher']","[5, 4]",2,9,1,2146,"[220, 172]","[220, 172]"
-100,early,5,100,700,7,220,[False],['standard'],[False],0,10,1,2371,[False],[False]
,,,,700,7,40000,,,,,11,1,2281,[False],[False]
-27,early,5,27,700,7,192,"[220, 440]","['higher', 'higher']","[2, 3]",2,12,1,2475,"[28, 248]","[28, 248]"
,,,,700,7,40000,,,,,13,1,2499,[False],[False]
27,late,4,27,700,7,392,"[192, 220, 192]","['lower', 'lower', 'lower']","[7, 2, 3]",3,14,1,2253,"[-200, -172, -200]","[200, 172, 200]"
-80,early,4,80,700,7,220,"[192, 392]","['lower', 'higher']","[6, 3]",2,15,1,2378,"[-28, 172]","[28, 172]"
,,,,700,7,40000,,,,,16,1,2148,[False],[False]
-8,early,5,8,700,7,192,[220],['higher'],[7],1,17,1,2477,[28],[28]
-19,early,5,19,700,7,220,"[392, 440]","['higher', 'higher']","[2, 4]",2,18,1,2292,"[172, 220]","[172, 220]"
-100,early,6,100,700,7,220,[False],['standard'],[False],0,19,1,2100,[False],[False]
,,,,700,7,40000,,,,,20,1,2410,[False],[False]
-63,early,4,63,700,7,220,"[440, 192, 440]","['higher', 'lower', 'higher']","[7, 3, 2]",3,21,1,2449,"[220, -28, 220]","[220, 28, 220]"
-125,early,5,125,700,7,392,"[220, 192]","['lower', 'lower']","[7, 3]",2,22,1,2426,"[-172, -200]","[172, 200]"
,,,,700,7,40000,,,,,23,1,2403,[False],[False]
100,late,6,100,700,7,440,[392],['lower'],[3],1,24,1,2024,[-48],[48]
-48,early,6,48,700,7,440,[False],['standard'],[False],0,25,1,2069,[False],[False]
,,,,700,7,40000,,,,,26,1,2202,[False],[False]
-80,early,5,80,700,7,392,"[192, 440, 192]","['lower', 'higher', 'lower']","[7, 2, 3]",3,27,1,2304,"[-200, 48, -200]","[200, 48, 200]"
13,late,4,13,700,7,220,"[192, 392, 392]","['lower', 'higher', 'higher']","[2, 6, 7]",3,28,1,2150,"[-28, 172, 172]","[28, 172, 172]"
0,on_time,6,0,700,7,192,"[220, 440]","['higher', 'higher']","[4, 3]",2,29,1,2218,"[28, 248]","[28, 248]"
,,,,700,7,40000,,,,,30,1,2123,[False],[False]
125,late,5,125,700,7,220,"[392, 440, 192]","['higher', 'higher', 'lower']","[4, 3, 7]",3,31,1,2300,"[172, 220, -28]","[172, 220, 28]"
0,on_time,6,0,700,7,192,"[220, 440]","['higher', 'higher']","[4, 3]",2,32,1,2386,"[28, 248]","[28, 248]"
-48,early,4,48,700,7,392,[440],['higher'],[3],1,33,1,2049,[48],[48]
,,,,700,7,40000,,,,,34,1,2339,[False],[False]
-27,early,5,27,700,7,192,"[220, 440]","['higher', 'higher']","[2, 3]",2,35,1,2305,"[28, 248]","[28, 248]"
0,on_time,4,0,700,7,440,"[192, 192, 392]","['lower', 'lower', 'lower']","[2, 6, 7]",3,36,1,2274,"[-248, -248, -48]","[248, 248, 48]"
,,,,700,7,40000,,,,,37,1,2021,[False],[False]
36,late,4,36,700,7,440,"[220, 192]","['lower', 'lower']","[7, 3]",2,38,1,2179,"[-220, -248]","[220, 248]"
-19,early,5,19,700,7,220,"[392, 440]","['higher', 'higher']","[2, 4]",2,39,1,2299,"[172, 220]","[172, 220]"
,,,,700,7,40000,,,,,40,1,2338,[False],[False]
-8,early,4,8,700,7,392,[192],['lower'],[6],1,41,1,2166,[-200],[200]
,,,,700,7,40000,,,,,42,1,2454,[False],[False]
